experiment_id,text_w,voice_w,behaviour_w,structured_w,temporal_w,precision,recall,f1,roc_auc,pr_auc
search_101,0.4,0.0,0.6,0.0,0.0,0.08002319512902291,1.0,0.14818791946308724,0.6473235893080556,0.15178532101901415
search_22,0.0,0.2,0.0,0.0,0.8,0.16822429906542055,0.782608695652174,0.27692307692307694,0.7458117585819566,0.15117597983468214
search_76,0.2,0.2,0.2,0.0,0.3999999999999999,0.0936408106219427,0.9710144927536232,0.17080943275971958,0.7085844680054427,0.14988545329304284
search_16,0.0,0.0,0.6,0.0,0.4,0.1132420091324201,0.8985507246376812,0.20113544201135442,0.7147880651671643,0.14825909292603748
search_50,0.0,0.6,0.2,0.0,0.19999999999999996,0.10195921631347461,0.9239130434782609,0.1836514223982715,0.654909568687616,0.14632323180411191
search_47,0.0,0.6,0.0,0.0,0.4,0.14008755472170106,0.8115942028985508,0.23893333333333333,0.7054001945152187,0.14555002995185073
search_102,0.4,0.2,0.0,0.0,0.3999999999999999,0.09691629955947137,0.9565217391304348,0.176,0.7029932969872972,0.1445154645938049
search_81,0.2,0.2,0.6,0.0,0.0,0.08,1.0,0.14814814814814814,0.6716693834872104,0.14431163387213383
search_37,0.0,0.4,0.0,0.0,0.6,0.14807436918990705,0.8079710144927537,0.250280583613917,0.7223706199830141,0.14363933636372994
search_69,0.2,0.0,0.6,0.0,0.19999999999999996,0.08044301952783445,1.0,0.14890747234960885,0.6835703131421056,0.1424418696205582
search_71,0.2,0.0,0.8,0.0,0.0,0.08,1.0,0.14814814814814814,0.638588098042976,0.14187908874309338
search_19,0.0,0.0,0.8,0.0,0.19999999999999996,0.08,1.0,0.14814814814814814,0.7042061633014622,0.1407875966916909
search_44,0.0,0.4,0.4,0.0,0.19999999999999996,0.09407170749023784,0.9601449275362319,0.1713546718396379,0.6567959325315289,0.14043006455853108
search_31,0.0,0.2,0.4,0.0,0.3999999999999999,0.10511129431162407,0.9239130434782609,0.18874907475943745,0.6896917207747733,0.13862494959502047
search_27,0.0,0.2,0.2,0.0,0.6,0.11553030303030302,0.8840579710144928,0.20435510887772193,0.703845442590614,0.13818060418105915
search_41,0.0,0.4,0.2,0.0,0.3999999999999999,0.10508474576271186,0.8985507246376812,0.18816388467374812,0.6774763020191228,0.13759321730892562
search_62,0.2,0.0,0.2,0.0,0.6,0.10478919361440851,0.927536231884058,0.1883045237219566,0.7031605298484973,0.13718081007031324
search_55,0.0,0.8,0.2,0.0,0.0,0.08120035304501325,1.0,0.15020408163265306,0.534614348465339,0.13550646365937408
search_82,0.2,0.4,0.0,0.0,0.3999999999999999,0.1021671826625387,0.9565217391304348,0.18461538461538463,0.6921208779668138,0.13412403858587052
search_52,0.0,0.6,0.4,0.0,0.0,0.08103347034644745,1.0,0.1499185225420967,0.5337673397075879,0.13353015073095778
search_92,0.4,0.0,0.0,0.0,0.6,0.10510887772194305,0.9094202898550725,0.18843843843843844,0.6897373816242477,0.13177351254013406
search_56,0.0,1.0,0.0,0.0,0.0,0.08094435075885328,0.34782608695652173,0.13132694938440492,0.5314865802763393,0.13157168688102583
search_34,0.0,0.2,0.6,0.0,0.19999999999999996,0.08077260755048288,1.0,0.14947197400487408,0.6601417312767687,0.1267852790575136
search_72,0.2,0.2,0.0,0.0,0.6,0.11130210571551354,0.9384057971014492,0.1990011525163273,0.691136315900021,0.12423833958535208
search_57,0.2,0.0,0.0,0.0,0.8,0.12738853503184713,0.8695652173913043,0.2222222222222222,0.6931876295626604,0.12224174345270807
search_46,0.0,0.4,0.6,0.0,0.0,0.0804899387576553,1.0,0.14898785425101216,0.5260523684282623,0.11430736059240773
search_36,0.0,0.2,0.8,0.0,0.0,0.08,1.0,0.14814814814814814,0.5213350319169339,0.10715545470891882
search_21,0.0,0.0,1.0,0.0,0.0,0.08,1.0,0.14814814814814814,0.42509908404335955,0.07902766710509024
